,Offense,Logistic Accuracy,Trees Accuracy,Neural Net Accuracy
0,toxic,0.9550885695187166,0.941677807486631,0.9532921122994652
1,severe toxic,0.9905372660427807,0.9893465909090909,0.9885110294117647
2,obscene,0.97735628342246,0.9760611631016043,0.9772100601604278
3,threat,0.9970755347593583,0.9968457553475936,0.9969502005347594
4,insult,0.9700451203208557,0.9667655414438503,0.965115307486631
5,identity hate,0.9915190508021391,0.9911848262032086,0.9909550467914439
